0  0,079232 
100  0,551488 
200  4,269696 
300  14,238080 
400  33,849728 
500  67,750595 
600  113,755455 
700  181,110367 
800  270,899353 
900  465,675995 
1000  534,512329 
1100  723,157104 
1200  921,981934 
1300  1243,891113 
1400  1502,229980 
1500  1817,975464 
1600  2197,729004 
1700  2684,107422 
1800  3368,512207 
1900  3751,183838 
2000  4386,408203 
2100  5072,078613 
2200  6095,252441 
2300  6734,618164 
2400  7571,132324 
2500  8557,098633 
